Message,Translated Event,Ignore
,,
IDE.changeCategory,Category,
Block.created,Create,
Block.duplicateAll,Create,
Block.duplicateBlock,Create,
BlockEditor.apply,Custom,
BlockEditor.cancel,Custom,
BlockEditor.changeType,Custom,
BlockEditor.ok,Custom,Triggers with BlockEditor.apply
BlockEditor.start,Custom,
BlockEditor.updateBlockLabel,Custom,
BlockTypeDialog.cancel,Custom,
BlockTypeDialog.changeBlockType,Custom,
BlockTypeDialog.newBlock,Custom,
BlockTypeDialog.ok,Custom,Triggers with BlockEditor.start
IDE.deleteCustomBlock,Custom,
Block.dragDestroy,Delete,
Block.userDestroy,Delete,
Block.showHelp,Hint,
HelpButton.toggled,Hint,
HintDialogBox.destroy,Hint,
HintDialogBox.done,Hint,Triggered with destroy
HintDialogBox.logFeedback,Hint,Triggered with destroy
HintDialogBox.newHint,Hint,Triggered with destroy
HintDialogBox.otherHints,Hint,Triggered with destroy
HintProvider.processHints,Hint,Trigger all the darn time
IntentionDialog.cancel,Hint,Ignore for consistency
IntentionDialog.popUp,Hint,Ignore for consistency
IntentionDialog.showAvailableHint,Hint,Ignore for consistency
SnapDisplay.hideHint,Hint,Triggered with destroy
SnapDisplay.promptHints,Hint,Ignore for consistency
SnapDisplay.showBlockHint,Hint,
SnapDisplay.showNoHints,Hint,
SnapDisplay.showScriptHint,Hint,
SnapDisplay.showStructureHint,Hint,
Block.grabbed,Move,
Block.snapped,Move,Only triggered after grabbed
ColorArg.changeColor,Param,
InputSlot.edited,Param,
InputSlot.menuItemSelected,Param,
MultiArg.addInput,Param,
MultiArg.removeInput,Param,
Block.clickRun,Run,
IDE.greenFlag,Run,
IDE.pause,Run,
IDE.stop,Run,
IDE.unpause,Run,
Error,,
IDE.exportGlobalBlocks,,
IDE.exportProject,,
IDE.exportSprite,,
IDE.newProject,,
IDE.opened,,
IDE.openProject,,
IDE.openProjectSprite,,
IDE.saveProject,,
Logger.started,,
ProjectDialog.setSource,,
ProjectDialog.shown,,
Scripts.exportPicture,,
Subgoal.started,,
XML.parseFailed,,
Block.hidePrimitive,,
Block.relabel,,
Block.ringify,,
Block.scriptPic,,
Block.unringify,,
IDE.openBlocksString,,
IDE.paintNewSprite,,
IDE.rotationStyleChanged,,
IDE.setSpriteDraggable,,
IDE.setSpriteTab,,
IDE.showPrimitives,,
IDE.toggleAppMode,,
IDE.toggleStageSize,,
Scripts.cleanUp,,
Scripts.undrop,,
TemplateArg.rename,,
Block.rename,,
IDE.addSprite,,
IDE.duplicateSprite,,
IDE.removeSprite,,
IDE.selectSprite,,
Sprite.addVariable,Variable,
Sprite.deleteVariable,Variable,
Sprite.setName,,
