Project ID,Graded ID,Grade
d8f2b71d-8866-48ca-8074-4409b8a237d6,413595,2
4bf94921-84b0-4a48-a86d-e7a5ae7ee365,308776,2
201be79f-41ba-4997-b22d-d6f07d21470b,364007,1
32861999-d7fc-4a0f-8013-f9eef8cfe1a4,329088,2
14896d31-0262-4f96-9441-f4494f9ac950,351731,1
b0e3e5e3-a8d7-4c85-8db0-8eec5af3dc8a,329755,2
21a7e832-fad0-4591-83b8-6ccca1d5906e,369603,2
91d88978-ec7d-42de-a604-92861532352b,506131,1
710340bc-f174-414e-b754-41e4d6e76e2a,374284,2
d9386352-ef3c-439d-8001-be8c6e22edd8,335393,2
5aba017a-728d-4532-b8a8-64f11ce9e67a,331314,1
a51d088a-8412-45f1-b6da-1072bd2fc157,326529,2
51f49536-10dc-41af-9bf8-c7fc48f4e182,359047,2
911ef9dd-e859-465b-95fb-60844456e380,359235,1
3f278bd4-798c-4385-a93b-0773b5781ab4,328083,2
1f28dd66-a2f1-49e3-a168-fddeee5ad898,373530,1
5b8c2f92-5a58-404b-bcee-d8f644841eef,333519,1
a9e0796b-7eaa-40e8-b4ea-d48622348f22,459079,1
122cfaec-21fe-43c2-b8d1-38dcb996bbd3,332615,2
78fe7afb-3534-44f6-a924-298b6bf12ad4,334663,2
92fcda01-cfb6-4421-82cd-d7f66d84b2dc,344675,2
c73ec731-3b76-4e4d-9889-3f71ea3f48e2,415177,2
0ab0da4b-c406-4428-9391-fa6cb5767a9d,329576,2
ae6b6f2a-f25c-45b4-b40a-eaaa736e042f,446604,1
6036f76c-c6ea-408a-9c94-0a737c2601fb,358411,2
bad984e0-9354-49b3-95a9-60a87fb1ee58,407057,2
605b49d0-f644-44b3-a24f-cec7846a7906,331234,1
62d40384-d137-4dae-a51f-9ccacfd1f553,331643,2
