Project ID,Graded ID,Gets Min/Max,Resets List,Repeats,Guess not in list,Guess added,Check guess
04fb24ac-27b8-40f4-bc98-2a2a80cc741a,318003,2,2,2,2,2,2
078e141a-d5b9-4507-9b6c-0c3b0ddd95be,284439,2,2,2,2,2,2
0c07c76c-a63b-40ae-89df-6c657726838f,320115,2,2,2,2,2,2
0c167649-1e20-41c7-ab4d-2d1aa7d9d132,319235,2,0,0,1,2,2
18544574-6728-4bca-9bfa-3f935c36cd94,298769,2,2,2,2,2,2
20d7ac48-2a41-4bd1-9850-df11df9c6ac1,284448,2,2,2,2,2,2
25376dcf-a293-4d26-a27b-69227823f4a4,335710,2,2,2,2,2,2
25a6b1bb-bc83-4405-a6e1-85711d48bc21,316894,2,0,1,0,0,2
299190a8-d26b-486c-afbd-f34e6092b5aa,339027,2,2,2,2,2,2
2c8c1771-4184-44f6-9f96-a2ce07719645,339217,2,2,2,2,2,2
2dee797a-5367-4acb-b459-e79dae895bd6,313450,2,2,2,2,2,2
32783740-aeae-4db4-9d1a-b3799bc59d81,320559,2,2,2,2,2,2
3ae58700-4575-4bbe-af81-579f02460c8e,285405,2,2,2,2,2,2
41302d53-709d-45e3-bdf5-8b5de003389a,285988,2,2,2,2,2,2
423d2f55-ff4c-445f-8d78-729abadd0abd,320290,2,2,2,2,2,2
49200485-e2d6-48b0-8666-a1ff6ae2a16f,339096,2,2,2,2,2,2
4a5a9ecb-e634-4f08-a115-47b283849dea,279842,2,2,2,2,2,2
505803ff-139c-4193-adc9-75b32df8e162,299067,2,2,2,2,2,2
52f1a91e-7d8b-44ed-a8d1-e28d2d77ba0d,332748,2,2,2,2,2,2
57705505-9e09-47b2-b70d-bb1b1b665116,284584,2,2,2,2,2,2
618070f1-602b-4821-9061-edd9d09de170,339260,2,2,2,2,2,2
62a4a1c3-403c-470b-bc2c-8ee1a878652f,317957,2,0,2,2,2,2
650d7bf4-2f6b-42e5-8592-c08fbca66fb1,338288,2,2,2,2,2,2
6d9879f6-c720-4896-adf7-eb2a68f28fe9,-1,,,,,,
6db5947d-4adc-43bc-aaef-90a302998bd0,317839,2,0,0,1,0,1
70481592-09e8-45e4-968b-6890078e2de7,299069,2,2,2,2,2,2
7199d7f2-c353-4422-8339-6cbcf4e82b73,284338,2,2,2,2,2,2
73890200-57e0-4327-881c-dfb81211b2a6,297182,2,2,2,2,2,2
76f3ccb3-3299-4341-83ed-d077dab69b69,296035,2,2,2,2,2,2
84b2fef3-3166-4063-aa31-816c86c593d1,339204,2,2,2,2,2,2
8d0f6edc-cdec-4629-9ffd-55d7e6a9c2fe,285816,2,2,2,2,2,2
8fd93a05-e815-404e-87f5-5eb26be768bf,318117,2,1,2,2,2,2
97c32e64-5809-4097-9fd8-4ca93875953a,285855,2,2,2,2,2,2
99dc0d9a-7540-48da-853e-7048ba9d8d52,285973,2,2,2,2,2,2
9a6a10fb-f9a0-4316-b68f-79178a35431e,339851,,,,,,
9b1e7d7a-a94d-408c-b9c4-5821bff3ec99,339476,2,2,2,2,2,2
9fa02ab9-5224-4c05-b44c-c81d58acc11b,299066,2,2,2,2,2,2
a4b3ab12-4230-4c4b-8354-afa7c3ce6972,338922,2,1,2,2,2,2
ad8b6214-49bf-46b5-83ab-1e6a48a3a702,337862,2,2,2,2,2,2
afd766b1-349b-4b22-bdae-180cff1081ab,297649,2,2,2,2,2,2
b62efbd8-b515-45f7-8508-6e0f257b47a5,338862,2,2,2,2,2,2
b830a2dd-e063-4914-808a-9857fc653072,298853,2,2,2,2,2,2
c0abbe0d-5694-4a98-9b97-d417a3e7fcea,320464,2,2,2,2,2,2
c204c664-5175-4093-83e2-35be7085b403,337030,2,2,2,2,2,2
c770abb0-c973-4079-be84-88ee6802fd4f,338329,2,2,2,2,2,2
cc5ddf34-7b2d-4600-926a-b4c20bd15a8d,337533,2,2,2,2,2,2
d1a3f3ad-c3f0-4c34-99fc-3abb11725ba7,294006,2,2,2,2,2,2
d68ed231-74df-459c-89b6-9ea86bd89478,335954,2,2,2,1,2,2
ddd0155c-f162-4158-8e26-c6a7403b7666,298578,2,2,2,2,2,2
e1cb5e86-bfc8-4bac-a07f-3c555bee2c5e,284335,2,2,2,2,2,2
e340f88d-36a4-4926-be97-26574ce00f27,336096,2,2,2,2,2,2
e5fcad14-dbb8-4a62-8eb5-3a229e12e1ba,339235,2,2,2,2,2,2
e69a2e74-6558-4ddb-9f31-2189a3c76d3d,279708,2,2,2,2,2,2
e72bed04-a73e-43b2-969e-0e527c0d2454,310986,2,2,2,2,2,2
e78ba398-08d3-40c1-bda6-493742869595,319593,2,2,2,2,1,2
e799384a-b33f-4914-8244-5dde5502fb40,277545,2,2,2,2,2,2
ed4af93e-85eb-423c-ab2f-6828fa42717e,284232,2,2,2,2,2,2
f0bbab7e-fc43-400a-ab79-2ee8a37b15a8,297977,2,2,2,2,2,2
f2e2e297-0637-4c4b-b68d-1f9f2c9ce0c8,339346,2,2,2,2,2,2
f5cad866-4890-4787-8ca2-7d73d3f73b3d,320289,2,2,2,2,2,2
f6305e1f-3a11-4cce-ba7b-317a39eb7b16,299038,2,2,2,2,2,2
f91737eb-3c2b-453b-a950-be4517130c9c,284325,2,2,2,2,2,2
fb773866-d862-4252-a273-afa5d6aad035,320111,2,2,2,2,2,2
nolog-C44066EB-489A-4E46-8544-00606B03F1CE,-1,2,1,2,2,1,2
,,,,,,,
Conflicts: ,11,,,,,,
Remaining:,0,,,,,,
