Project ID,Graded ID,1 Block Input,Pen down,Variable Initialization,Repeat Rotations * 4,Move + Turn,Variable Increment
0caddeec-8745-4996-a775-b85d6f9da818,169759,2,2,2,1,2,2
151a85e9-3fc7-4ab5-acad-a7025a56e5e6,174507,2,1,1,1,2,2
15606828-e75a-41de-8a20-3a199450e837,125009,2,2,2,2,2,2
16d44ef6-c7fe-4019-b298-59de964c497e,164556,2,2,2,2,2,2
1ed22524-f9d4-4a3c-9f55-e93a6ab88a7d,165956,2,2,1,2,2,1
1f2f02dc-a94b-47cd-a165-301518eaa625,157530,2,2,2,1,2,2
280f8425-cece-4e39-8d82-c01a93e506c9,96068,2,2,2,2,2,2
2b387681-a022-4179-af9c-26737ce07b67,179442,2,2,1,1,2,1
2cc7bb77-aae2-465a-bbb9-afabcf3c2b3f,166754,2,2,1,2,2,2
308e9a37-8630-481c-b983-d1803f5b83ee,172189,2,2,2,2,2,2
368d6485-c162-4984-b1f5-a33f2abe1034,174970,2,2,2,2,2,2
3802cd2f-278a-4d22-8891-fa460a593275,150105,2,1,1,2,2,2
3bf3850c-e95d-4f3d-a114-8e6082a7397b,171181,2,2,2,2,2,2
3cbec798-cea3-4631-be78-818021b8c8c4,182080,2,2,2,2,2,2
3f10a238-a914-4a4c-bd71-5dd06e2cf0be,123898,2,2,1,2,2,2
423d2f55-ff4c-445f-8d78-729abadd0abd,171733,2,2,2,1,2,2
4319c369-e262-4745-8c56-5e9e7c2f1048,173526,0,2,2,1,2,2
4322c919-d860-4568-a3ec-aebf9526ce7f,173544,2,2,2,2,2,2
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96922,2,2,2,2,2,2
5273ed64-1463-47f4-b2f0-5e54edd39819,163821,2,0,1,1,2,0
561230fb-99ef-4135-b6ea-c5a4d27abcb4,160704,2,2,1,0,1,0
594feefd-3dd0-4573-9162-3872621cde12,181364,2,2,2,1,2,2
635f87ad-01db-462c-a9ff-77b55b731e9e,176268,2,1,2,0,2,0
688aa42b-ca96-4bdc-b874-9d32c461fda8,-1,,,,,,
72ff8569-f373-444f-b728-f37e00ed2589,156631,2,2,2,2,2,2
78011410-3bf6-4dff-a643-566e0af843c2,182232,2,2,2,1,2,2
7d4e69e8-025c-4940-9b44-9245586eafaa,180770,2,2,2,1,2,2
85ab977c-7805-4216-b730-a3be40021de8,160599,1,2,2,1,1,0
8f92612f-2334-4a1d-a918-d0859b493148,159284,1,2,0,0,1,0
98dda906-774e-41c6-b14b-33571cb8b776,182128,2,1,2,0,2,0
9cdd1d3b-22bc-463e-8236-5c7dcd8e6be0,177698,2,2,2,1,2,2
9d198ea9-8e69-47ab-97d7-06167b7d9bad,151801,2,2,2,1,2,2
9f948c6e-0023-4726-9eea-732b4276cd44,126916,2,2,2,2,2,2
a06d3d78-e0a5-4a19-bc44-2cace3bea77a,87331,2,2,2,1,2,2
a2bc5e7d-7862-47e6-9b09-e77e14ce9888,170436,2,2,2,2,2,2
a94b6ac7-b3b7-4213-8c68-3a07255dd764,154145,2,2,2,2,2,2
ace3cd5b-684a-47a6-8ef6-b98090c0cb74,170581,2,2,2,2,2,2
ad83bc71-54e8-481f-9f6e-43cd0fa75147,162075,2,2,2,2,2,2
aefa1bd8-f04c-41c4-a44a-7b58c85e3685,174952,2,2,2,1,2,2
b15bace5-74b5-4b0e-9592-e541c47b8678,96851,2,2,2,2,2,2
b28f5ecf-24b6-4e5a-99be-fe94974e3fab,170206,2,2,2,1,2,2
bf78dcca-5f1f-4a77-80d1-0ab506015709,173167,0,2,2,1,2,2
c1dd1f6e-9824-4867-85b4-7f620cfcc7e7,180161,1,2,0,0,1,0
c424104a-2cc6-4756-a47d-79016a5569f0,176423,2,2,2,1,2,2
c587b59f-baec-4d2f-8193-4b45407328dd,203836,2,2,2,2,2,2
c8b2bc2a-4ae8-47ef-a471-00cd075a0207,96900,2,1,2,2,2,2
c8c57a6f-ce4e-4d0b-b97b-ef08e4aea435,244643,0,2,1,1,2,2
ca29e777-57c1-49a4-960b-629ffa591b51,159451,2,2,2,1,2,0
d5b8c11c-a4cb-49ae-bcaf-2b92e9e7c330,178700,2,2,2,1,2,1
d9078d7b-5712-4443-bd43-5f7d12a9ed8a,158776,2,2,2,2,2,2
dd7e1cd5-c889-4cdf-a54d-e9eb35c3b197,167998,2,2,2,1,2,1
df28e15b-a3c1-43ef-af0c-2cd7aa7dd6ca,161931,2,2,2,1,2,2
df49facd-18f2-4930-882a-64a106b52f36,150050,2,2,2,2,2,2
e4453132-683a-4393-acd5-9a87e31412ca,-1,2,2,2,2,2,2
e4aaeb62-cc56-429d-a2d8-d853fcc8251d,181736,0,2,2,1,2,2
e510313b-56bf-4269-a3db-20d4780cd360,124419,2,2,2,2,2,2
eb5dc618-bc74-4f3d-b71b-23c8b48030dd,173800,2,1,2,0,2,1
eb722a70-72c5-4183-95d4-eea512ccfd4d,163900,2,2,2,2,2,2
fa8659b2-4a53-4f8f-82e8-29c527dc3672,165511,2,2,2,1,2,2
nolog-28501907-05B0-40C3-BD0C-04836C698476,-1,0,2,1,1,2,2
nolog-F75DFD91-A37F-4695-A12D-0C04203DC885,-1,2,1,2,2,2,2
,,,,,,,
Conflicts: ,24,,,,,,
Remaining:,0,,,,,,
