dataset,assignment,id,link,start,code
Fall2016,guess1Lab,0285f9b3-3fbb-4a9d-82e4-52f76e373b29,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=0285f9b3-3fbb-4a9d-82e4-52f76e373b29&start=216475&end=223041&snapshots=true,216475,216475
Fall2016,guess1Lab,03034c52-2f8f-4ed6-b3eb-6aa45663c17c,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=03034c52-2f8f-4ed6-b3eb-6aa45663c17c&start=234101&end=237945&snapshots=true,234101,234101
Fall2016,guess1Lab,04fb24ac-27b8-40f4-bc98-2a2a80cc741a,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=04fb24ac-27b8-40f4-bc98-2a2a80cc741a&start=211928&end=223479&snapshots=true,211928,216718
Fall2016,guess1Lab,06bd0428-5964-42f1-b669-e9b4404f4521,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=06bd0428-5964-42f1-b669-e9b4404f4521&start=187135&end=198569&snapshots=true,187135,187135
Fall2016,guess1Lab,07c0ac63-4c18-4647-a310-db6ed9c41598,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=07c0ac63-4c18-4647-a310-db6ed9c41598&start=190561&end=200500&snapshots=true,190561,190561
Fall2016,guess1Lab,0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc&start=226872&end=239842&snapshots=true,226872,231660
Fall2016,guess1Lab,0be0adfc-a9c1-4253-a018-896cd85b6d58,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=0be0adfc-a9c1-4253-a018-896cd85b6d58&start=183213&end=199300&snapshots=true,183213,191768
Fall2016,guess1Lab,0c07c76c-a63b-40ae-89df-6c657726838f,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=0c07c76c-a63b-40ae-89df-6c657726838f&start=211985&end=221416&snapshots=true,211985,211985
Fall2016,guess1Lab,0c167649-1e20-41c7-ab4d-2d1aa7d9d132,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=0c167649-1e20-41c7-ab4d-2d1aa7d9d132&start=212224&end=224681&snapshots=true,212224,216697
Fall2016,guess1Lab,0fbff2bf-817e-4fc1-906c-2814545bbc32,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=0fbff2bf-817e-4fc1-906c-2814545bbc32&start=190274&end=196499&snapshots=true,190274,190274
Fall2016,guess1Lab,20c14fc3-65ac-490a-9c35-0cf7c07c0541,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=20c14fc3-65ac-490a-9c35-0cf7c07c0541&start=227449&end=239792&snapshots=true,227449,232580
Fall2016,guess1Lab,25132487-93c0-4188-bb18-2fdb00d155de,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=25132487-93c0-4188-bb18-2fdb00d155de&start=183200&end=194849&snapshots=true,183200,190244
Fall2016,guess1Lab,25376dcf-a293-4d26-a27b-69227823f4a4,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=25376dcf-a293-4d26-a27b-69227823f4a4&start=226987&end=235103&snapshots=true,226987,226987
Fall2016,guess1Lab,276dab94-bc56-4e4c-adea-f5a88a417e13,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=276dab94-bc56-4e4c-adea-f5a88a417e13&start=212184&end=223737&snapshots=true,212184,216884
Fall2016,guess1Lab,29b66ecc-1190-4e92-b8df-02617753cbce,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=29b66ecc-1190-4e92-b8df-02617753cbce&start=229085&end=239629&snapshots=true,229085,229085
Fall2016,guess1Lab,2dee797a-5367-4acb-b459-e79dae895bd6,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=2dee797a-5367-4acb-b459-e79dae895bd6&start=211883&end=222087&snapshots=true,211883,212135
Fall2016,guess1Lab,32de7be0-449d-4464-9423-0d38af125b45,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=32de7be0-449d-4464-9423-0d38af125b45&start=183226&end=199467&snapshots=true,183226,190353
Fall2016,guess1Lab,34898f7f-6aa6-454b-b2b8-a02b839997e6,http://arena.csc.ncsu.edu/snap/logging/view/display.php?id=34898f7f-6aa6-454b-b2b8-a02b839997e6&start=231790&end=239440&snapshots=true,231790,231790
