Project ID,Graded ID,Greet by name,Store random number,Loop until it's guessed,Ask for guess,Tell if too high/low,Tell if correct,Comment
0179edc9-df11-4722-baa6-2422b3ead716,131973,2,2,2,2,2,2,
02facacb-3a83-4d96-8abc-4dee0de6fca0,163499,2,2,2,2,2,2,
0bebf758-c627-410c-9527-1202d3a187cd,132415,2,2,2,2,2,2,
0df3e3be-0978-4ced-84ea-2fdf240f4ffe,168087,2,2,2,2,1,2,
10226046-6824-4ec9-9508-2906b9c62893,144035,2,2,2,2,2,2,
120bdbc9-60ae-4bdf-a4ec-f1076bee62ba,168092,2,2,2,2,2,2,
126559e7-1b02-4c88-846b-054dd2360a76,134082,1,2,2,2,1,1,
16f4f966-1b23-474c-ba21-b27d0de9a3ea,131877,2,2,2,2,2,2,
1758ee25-8566-48a9-9bbe-cc4f21617f1e,166181,2,2,2,2,2,2,
18e3c082-8a28-4e66-abfc-b1be51f6e932,143891,2,2,2,2,2,2,
196e801a-7cea-4481-81ce-6325cf219765,168429,2,2,2,2,2,2,
24cbbbe5-f9dd-42cc-8cbe-c4fffba30a1d,144435,2,0,2,2,2,2,
2600d1b3-2989-44d5-b704-b70583789b25,165869,2,2,2,2,2,2,
2bddd640-723f-4f4e-b6f7-725a9d08dff8,131699,2,2,2,2,2,2,
2bea1887-5c64-42f9-81ee-53126f72c23b,143953,2,2,2,2,2,2,
3b089a80-3b95-4df5-b8ee-e40bfed1983f,168511,2,2,2,2,2,2,
3ee80769-6131-467e-957f-b5cc5b8afc6f,160001,2,2,2,2,2,2,
40a9e408-5ce7-4246-8fa0-0e92a2fc38ed,139218,2,2,2,2,2,2,
4ff89b08-02bc-496f-8bc7-79008d47c95e,160947,2,2,2,2,2,1,
564a8471-4365-49e0-9ab5-150cb2831624,168492,2,2,2,2,2,2,
5dcb94ae-d196-4064-aadd-29b97ebfa956,168436,2,2,2,2,2,2,
5e0613cb-162d-4e6e-b779-e8c221a8e3dd,136291,2,2,2,2,2,2,
611913bc-e735-4d56-a0b6-289243e5e7fd,133444,2,2,2,2,2,2,
6495520e-b11b-475e-8d5d-02a1089310ca,151562,2,2,2,2,2,2,
666a6993-51c8-4bf3-9533-2dd028a8159c,160892,2,2,2,2,2,2,
66eb02c3-ba90-41f0-a4a3-4a84df420b11,160575,1,2,2,2,2,2,
678603bb-a22d-457e-98c1-5ccf21c40869,170506,2,2,2,2,2,2,
686bd617-5763-42eb-a3c2-f1a18e887e62,143252,2,2,2,2,2,2,
6dc3a193-5624-4cab-90ef-1a7b8b1ab335,160880,2,2,2,2,2,2,
796e91b1-42c0-42af-8260-c6647253b68f,133267,2,2,2,2,2,2,
7d70dc70-6811-448f-b222-59a01fcf0bd9,160881,1,2,2,2,2,2,
80962a6f-99e5-471e-ad14-79c671609c72,154623,2,2,2,2,2,2,
85ba2644-7df1-4234-b06a-95789b84edb0,321370,2,2,2,2,2,2,
8a746682-255b-4d6f-94b4-ff5e43937019,142815,2,2,2,2,2,2,
8cf7290d-db6c-44c6-abfb-380259f1fde3,168138,2,2,2,2,2,2,
901a5431-b680-45cf-b0f8-6051c2fc4ac4,176197,2,1,2,2,2,2,
91bdd895-e537-49f2-9a72-ae12ecafa3a3,160103,2,2,2,2,2,2,
a739eb97-177f-45cc-bfa3-13a4f8bc638c,138445,2,2,2,2,2,2,
b3fd566f-3348-414a-842e-cce29961c1ff,142324,2,2,2,2,2,2,
b4f6538d-c835-4d46-8870-a11367f3941d,132804,2,2,2,2,2,2,
c9bcdfa0-dfd3-4bc2-a218-7f31e2e48cdd,134187,2,2,2,2,2,2,
c9eb800f-c195-4c53-82af-c344b02c1a16,219193,2,2,2,2,1,2,
cc465afc-dbcb-44e9-9b57-3b0aff017973,165983,2,2,2,2,2,2,
d7bf1c22-8ebb-46fd-acb5-b9283ee17981,143703,1,1,2,2,2,2,
d7e69453-ad17-4b90-bdc5-5e4507ffc5ae,170466,2,2,2,2,2,2,
db3e2a97-7c3f-4ffb-87b7-c9aef4281577,159828,2,2,2,2,2,2,
e20b053e-22fc-4866-ad46-00596cd8bdf0,144425,2,2,2,2,2,2,
ef99fbfc-237b-48b8-a70f-2958d7ddf6d1,143527,2,2,2,2,2,2,
f71d7bf0-c275-4494-a299-76af472b9bfb,132902,2,2,2,2,2,2,
fcfe5477-4f21-410c-b543-a5ba9ee97ee7,166010,2,2,2,2,2,2,
