Project ID,Graded ID,1 Block Input,Pen down,Variable Initialization,Repeat Rotations * 4,Move + Turn,Variable Increment,Comment
026354ab-3c19-4d9d-bb38-42eded85bd53,171170,0,2,0,1,1,0,
08646392-6262-4519-ab3c-9eb932436655,146856,2,2,1,2,2,2,
165c355d-d3dd-42c8-a1ea-02d951c1fc42,111749,2,2,1,2,2,2,
189c6586-bcf6-481d-9ef3-ff21d214b925,79859,2,2,2,1,2,2,
194f1f1a-3013-476c-882a-ac9e55310471,150742,0,2,1,1,1,1,
19a5d7ff-dc55-437b-bcc6-68d5ca120a40,92104,2,2,2,2,2,2,
1b92a8ac-56c6-41a5-a6ee-62fdbee83bf2,146047,1,2,0,0,1,0,
1e321d5b-a883-4512-a30d-f10b43219654,148833,2,2,1,1,2,2,
262aa387-7c5c-482c-9c39-12f592703e3d,145698,0,2,2,1,2,1,
28c47585-7381-4ff1-89aa-a0b0176bcf14,154516,1,2,1,1,2,0,
28c8ad6b-37b9-4c50-bb81-72163345fb55,144499,2,2,2,0,2,2,
2bbc8509-da9f-4698-b77a-285d908c18c5,110239,2,2,2,1,2,2,
2bc07245-f752-4933-9290-6e7797243bf8,117183,2,2,1,1,2,2,
36fd2bca-d777-4437-ae50-ab5c458c6001,170320,1,2,0,0,1,0,
3784cfb6-38bb-40aa-90cc-f1391128b61c,79723,2,2,2,2,2,2,
3ca53373-3451-4d7a-b4fe-0b2487630795,126689,2,2,2,0,2,0,
3cd033bc-1e56-42b3-8de3-a8db1ea2885c,173971,2,2,2,2,2,2,
3d3c3ba4-fa83-4ced-b6b8-29c4c0ba56c1,169473,0,2,1,1,2,1,
3e608466-349c-4263-b6e8-f9b2caa161fd,119650,2,2,2,1,2,2,
3f59b6d6-2ea7-4836-ae6d-dbbbdc109c64,166969,0,2,2,2,2,2,
448da046-276d-47d9-b27d-8c8c9cb7301b,145111,2,2,2,2,2,2,
4833bc7c-f7b0-42e7-9950-a4f051ca557b,122912,2,1,1,0,2,0,
4a6c19cb-a2ab-42bf-8ad5-674ae615c324,144834,0,2,2,0,2,2,
4f742133-4006-47c1-b88c-eda27c93a00c,117179,2,2,2,2,2,2,
554b702c-8dbb-4519-9feb-b35c518e9fbe,81513,2,2,2,2,2,2,
5956a048-e652-418c-a322-6ad1454aeb01,119882,0,2,2,1,2,2,
65478c5a-7261-4818-8ad7-0aac2b410722,168374,2,0,2,2,2,2,
73f2a49b-c8aa-4ccd-a6b5-e75248679a78,125896,2,2,0,1,1,0,
761a8774-ad93-450e-9d3b-422e6bc465b6,120426,0,2,2,1,2,2,
7c56aab2-6be4-4cda-8acb-b9e45f16c823,122910,2,2,2,2,2,2,
7e1faaae-3353-458d-9f24-fb01dbdd5fe9,102994,2,2,2,2,2,2,
803c00da-fee2-493b-bbc5-393a22de3a8b,149376,2,2,2,1,1,2,
94c8f548-3b19-4a56-9d17-97abf4621de7,111752,2,2,2,2,2,2,
9f598803-a750-4f0b-b048-31b18ea1ebd9,63771,2,2,2,1,2,2,
a216b432-d92c-41ce-8083-ceab5aa3d1c7,145311,2,2,1,2,2,2,
a56e6191-bca6-4283-a8c3-b3f7d9202278,100059,2,2,2,2,2,2,Unrolled inner loop
a6f72c29-24a9-4e00-a065-684cd1c983ca,127391,2,2,2,2,2,2,
a925916a-2403-46da-afe4-3aa9d8326d04,103866,2,2,2,0,2,0,
b1e42c47-f1b6-4a7a-be95-e6c82e94cbcf,61407,2,2,2,2,2,2,
b54e8b78-bbc2-4582-9e04-b8d8f09caeb0,109764,2,2,2,1,2,2,
bca6d3a5-c969-4e6f-8010-1a137e4b88e5,121085,2,2,2,2,2,2,
bf5abb2c-5e6d-4ce0-846e-53f240c63a29,149970,2,2,2,1,2,2,
c723c995-fe75-4490-b0b5-f41b68c40a54,115827,2,2,2,1,2,1,
c954c7b4-cbb5-484d-a1c7-be88b4d54fad,169919,2,2,1,2,2,2,
cef0d646-e4ee-43c6-b69b-63179f488b77,111973,2,2,2,1,2,2,
d4c6a741-a20d-4927-a03a-b39a2acc5e2b,170297,2,2,2,1,2,2,
dac71519-55a0-42e6-b337-ef13408242f9,146362,0,2,0,0,1,0,
