dataset,assignment,id,link,start,code,startAssignment
Fall2017,lightsCameraActionHW,0033fcb1-e90d-4fef-9bff-09d8b7a4cee6,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=0033fcb1-e90d-4fef-9bff-09d8b7a4cee6&assignment=lightsCameraActionHW&start=13002&end=16210&snapshots=true,13002,,
Fall2017,lightsCameraActionHW,03a14a48-9df9-4d32-bcc0-d979dca299b0,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=03a14a48-9df9-4d32-bcc0-d979dca299b0&assignment=lightsCameraActionHW&start=30012&end=32114&snapshots=true,30012,,
Fall2017,lightsCameraActionHW,08d95cf4-97c6-4ee9-9a4d-9d1d136eb816,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=08d95cf4-97c6-4ee9-9a4d-9d1d136eb816&assignment=lightsCameraActionHW&start=32630&end=42507&snapshots=true,32630,,
Fall2017,lightsCameraActionHW,0b76d2db-fa64-4e63-9692-51a5ff84dc22,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=0b76d2db-fa64-4e63-9692-51a5ff84dc22&assignment=lightsCameraActionHW&start=27942&end=28396&snapshots=true,27942,,
Fall2017,lightsCameraActionHW,0e56fbc1-6b2b-43b0-aadb-7c167fd274be,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=0e56fbc1-6b2b-43b0-aadb-7c167fd274be&assignment=lightsCameraActionHW&start=44185&end=44626&snapshots=true,44185,,
Fall2017,lightsCameraActionHW,0f39b481-ac5d-40a0-b680-11aee5316512,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=0f39b481-ac5d-40a0-b680-11aee5316512&assignment=lightsCameraActionHW&start=19228&end=23111&snapshots=true,19228,,
Fall2017,lightsCameraActionHW,140a17e8-f728-4c5b-aa4b-8841cddae67d,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=140a17e8-f728-4c5b-aa4b-8841cddae67d&assignment=lightsCameraActionHW&start=48428&end=50271&snapshots=true,48428,,
Fall2017,lightsCameraActionHW,1639a12d-f29e-49c9-877b-611f3a531520,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=1639a12d-f29e-49c9-877b-611f3a531520&assignment=lightsCameraActionHW&start=45697&end=47696&snapshots=true,45697,,
Fall2017,lightsCameraActionHW,196b941f-fb8b-4d6c-8555-50e9a25f42e6,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=196b941f-fb8b-4d6c-8555-50e9a25f42e6&assignment=lightsCameraActionHW&start=35130&end=35321&snapshots=true,35130,,
Fall2017,lightsCameraActionHW,2954414a-5a4c-4ee7-86fe-1bf0b5e47fb6,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=2954414a-5a4c-4ee7-86fe-1bf0b5e47fb6&assignment=lightsCameraActionHW&start=23254&end=34467&snapshots=true,23254,,
