Project ID,Graded ID,Greet by name,Store random number,Loop until it's guessed,Ask for guess,Tell if too high/low,Tell if correct,Comment
02a8a191-f272-42d1-aa2e-594971f1b82a,149779,2,2,2,2,2,2,
0b855400-8860-413a-99a4-a816550dddfb,125750,2,2,2,2,1,2,
0ddc497d-2789-4265-9661-74c23c3c9590,156021,2,2,2,2,2,2,
16654462-2807-419f-a32c-15b6d74c2e35,123145,2,2,2,2,2,2,
2432aca4-1c43-4a0a-8f88-bab31fa27480,143371,2,2,2,2,2,2,
2be600f8-6b09-4965-a18e-364fca83118b,143788,2,2,2,2,2,2,
346d876d-e6c7-4435-b06b-f2683b7a5617,137193,1,2,2,2,2,2,*screwed up the ask for name logic
34705c4f-b05f-4be3-aa85-8162c98bbb7d,137285,2,2,2,2,2,2,
39b0cf75-03ee-43a9-9b50-7d3ca1417411,162176,0,0,0,0,0,0,
3abb9580-cac2-46f4-9258-6c9785909a89,148923,1,2,1,1,0,0,
3cbff372-69b7-4298-9b61-2000ea42b009,122223,2,2,2,2,2,2,
3e5a6faa-c5da-4474-bd2a-061f60079723,146748,2,2,2,2,2,2,"*kinda funky, but it works and it's not TOO complicated"
41c1d484-b960-495d-994d-62cb3387eb7f,125527,2,2,2,2,2,2,
46192eff-9864-44c7-ad6d-353ebf52c58f,144727,2,2,2,2,2,2,*same funky answer setting thing going on as in 13
478fd3c4-2671-4674-ba77-19d4f17beeb2,125407,2,2,0,2,2,2,
4e2de77d-9c08-4aac-8dd7-9a89b09cf211,137200,2,2,2,2,2,2,
56644b8c-16f4-4c72-8727-5824c6d9563a,148236,2,2,2,2,2,2,*same funky thing as 13 & 15
5c43e691-0eb3-4a75-923c-397b365ce3f9,148296,2,2,2,2,2,2,
5e3badb4-0a26-4167-b3c6-c270604d38df,135808,2,2,2,2,1,2,
6d18aa27-0ec7-4ab6-93a0-b7ecb0f26db1,149104,2,2,2,2,2,2,
73adfec1-3666-4499-96e6-5737e13d7806,137178,0,0,0,0,0,0,
76085b99-0ee4-46f1-acbd-bf5b803d6cb0,148294,2,2,2,2,2,2,*ye gods way more complicated than you were asking
7d481dd6-c968-454d-ab19-e40f12f22bdb,125519,2,2,0,2,2,2,
80377625-ed7e-496c-94cc-1c53404d32cb,120376,2,2,2,2,2,2,
887206d2-6fb6-4f9f-a845-fdcae1d77ef4,136640,2,2,2,2,2,2,
8a889958-91d8-4718-90fe-24b86790d1bc,124463,2,2,2,2,2,2,
8b7380fa-08ac-44e3-a039-8e14d1c1a6ca,126310,2,2,2,2,2,2,*poor formatting in greeting
8e80d807-14e7-431e-83ed-1fa748a7b85d,164302,2,2,2,2,2,2,"*wrong ""too"""
98c59ccf-ed15-4f2f-b9ca-225edca897ab,134694,2,2,2,2,2,2,
99b4deee-4c84-4a9c-a012-95d9928a7132,135934,2,2,2,2,2,2,
9da03255-5c08-4f07-adee-3e02f0807c3f,121488,2,2,2,2,2,2,
9e54d108-6772-4c80-937c-3a53f6b65c58,122716,2,2,2,2,2,2,
9e8304b4-ce2d-435a-b561-7546e0e9121c,159819,2,2,2,2,2,2,*somewhat rude way to tell somebody to guess again
a1047f93-6773-49bc-88d1-b8a0f8dae30b,162767,2,2,2,2,2,2,*strange redunancy but it works
a4dd95d6-353b-4655-a904-0aef9b0d52ec,129920,2,2,2,2,2,2,*the only way I can describe this is as frankencode
b7603b09-f1d1-421a-a682-b5e5ab4460bc,162751,0,0,0,0,0,0,
bb6fd568-3a1a-4990-bf38-a1aa3c9edde2,141498,2,2,2,2,2,2,*starts on space bar pressed rather than green flag
c007bb65-615c-4e82-ad50-c8307f1b0f32,160601,2,2,2,2,2,2,
c4dd2926-7ccf-4061-a91a-96acf7abc9ca,125232,2,2,2,2,2,2,
cd148030-a1f8-47b7-9239-5c5b07039a9d,161101,2,2,2,2,2,2,*did some weird stuff with variable setting
d1d9bfa9-c1c9-4331-bc02-64eaaeee5da8,148327,2,2,2,2,2,2,
d4123792-53ec-44d7-a483-f24fc4b8df79,164193,2,2,2,2,2,2,
dfb44912-61eb-48ab-a9d3-0f3781d63f36,146165,2,2,2,2,2,2,
e3024ff8-7533-46b4-ba17-aec4fa7eafdf,126029,2,2,2,2,2,1,*might not tell them correct on first guess
e4763616-8d69-46c2-8b2a-17ab40952206,136914,2,2,2,2,2,2,
e670134f-a70d-4882-b611-75dbb49d8f59,160073,2,2,2,2,2,2,
f27bf1e9-4a99-4971-ab52-7fc68b51a4b5,162330,1,2,2,2,2,2,"*didn't use join, but did display both ""hello"" and the name"
