Project ID,Graded ID,Greets by name,Repeats until guessed,Gives feedback,Min and max,Counts guesses,Reports guesses,Comment
02a8a191-f272-42d1-aa2e-594971f1b82a,150291,2,2,2,2,2,2,
03d1b1de-ec71-467c-9e5b-60ee0bd7484a,171006,2,2,2,2,2,2,
07e3d539-be62-4707-99a2-fcade79a43e2,178680,2,2,1,2,2,2,
0b173513-9d06-4e23-aa12-48885f6334de,166425,2,2,2,2,2,2,
0b855400-8860-413a-99a4-a816550dddfb,173705,2,2,2,1,2,0,
0ddc497d-2789-4265-9661-74c23c3c9590,177821,2,2,2,2,2,2,
16654462-2807-419f-a32c-15b6d74c2e35,173830,2,2,2,2,2,2,
34705c4f-b05f-4be3-aa85-8162c98bbb7d,175064,2,2,2,2,2,2,
39b0cf75-03ee-43a9-9b50-7d3ca1417411,178011,2,2,2,0,2,2,
3cbff372-69b7-4298-9b61-2000ea42b009,125892,2,2,2,1,2,2,
3e5a6faa-c5da-4474-bd2a-061f60079723,166556,2,2,2,2,2,2,
41c1d484-b960-495d-994d-62cb3387eb7f,126890,2,2,2,2,2,2,
46192eff-9864-44c7-ad6d-353ebf52c58f,148451,0,0,0,0,0,0,
478fd3c4-2671-4674-ba77-19d4f17beeb2,169685,2,2,2,2,1,2,
4e2de77d-9c08-4aac-8dd7-9a89b09cf211,174993,2,2,2,2,1,2,
4e6549f5-cb7e-4c20-8986-38548696f240,150033,2,2,2,2,1,0,
5c43e691-0eb3-4a75-923c-397b365ce3f9,150126,2,2,2,2,2,2,
5e3badb4-0a26-4167-b3c6-c270604d38df,174811,2,2,2,2,2,2,
654afca7-a95a-49b0-806c-1aeaa6b1f78d,293401,0,0,0,0,0,0,
6d18aa27-0ec7-4ab6-93a0-b7ecb0f26db1,166776,2,2,2,2,2,2,
73adfec1-3666-4499-96e6-5737e13d7806,175069,2,2,2,2,2,2,
76085b99-0ee4-46f1-acbd-bf5b803d6cb0,149539,0,0,0,0,0,0,
7d481dd6-c968-454d-ab19-e40f12f22bdb,173573,2,2,2,0,1,0,
80377625-ed7e-496c-94cc-1c53404d32cb,126842,2,2,2,2,1,2,
83c8dd61-4cd4-462a-a037-6294b4484386,173828,2,2,2,2,2,2,
8a889958-91d8-4718-90fe-24b86790d1bc,173578,2,2,2,2,2,2,
8e80d807-14e7-431e-83ed-1fa748a7b85d,179374,2,2,2,2,2,2,
98c59ccf-ed15-4f2f-b9ca-225edca897ab,137133,2,2,2,2,2,2,
99b4deee-4c84-4a9c-a012-95d9928a7132,138681,2,2,2,2,2,2,
9da03255-5c08-4f07-adee-3e02f0807c3f,125656,2,2,2,1,2,2,
9e54d108-6772-4c80-937c-3a53f6b65c58,170711,2,2,1,1,1,2,
9e8304b4-ce2d-435a-b561-7546e0e9121c,164593,0,0,0,0,0,0,
a134d0fa-665e-4a17-b400-e2c365d41f10,177699,0,0,0,0,0,0,
a1ad945f-b97d-4e29-bcf5-2f90c22134e9,176703,2,2,2,2,1,2,
a4dd95d6-353b-4655-a904-0aef9b0d52ec,131506,0,0,0,0,0,0,
b7603b09-f1d1-421a-a682-b5e5ab4460bc,164756,0,0,0,0,0,0,
bb6fd568-3a1a-4990-bf38-a1aa3c9edde2,144683,2,2,2,2,2,2,
c29e0977-4dc8-4090-bd09-1203b00d1de0,176105,2,2,2,2,2,2,
c654eec5-0ae4-4e09-8c48-634cbade53d5,134384,0,0,0,0,0,0,
cd148030-a1f8-47b7-9239-5c5b07039a9d,178819,0,0,0,0,0,0,
cd965847-674d-4e05-9b96-63ab920011bc,176201,2,2,2,2,2,2,
d1c8bb69-4278-4081-9e9e-e1b2e87d9686,177188,2,2,2,2,1,2,
d1d9bfa9-c1c9-4331-bc02-64eaaeee5da8,170493,2,2,2,2,2,2,
dfb44912-61eb-48ab-a9d3-0f3781d63f36,149538,2,2,2,2,2,2,
e4ab3ff7-34a9-4aea-9e35-be151d372b52,175419,2,2,2,2,1,2,
e670134f-a70d-4882-b611-75dbb49d8f59,162692,2,2,2,2,1,2,
