Project ID,Graded ID,Gets Min/Max,Resets List,Repeats,Guess not in list,Guess added,Check guess,Comment
02a8a191-f272-42d1-aa2e-594971f1b82a,214929,2,2,2,2,2,2,
02f81b90-3166-4e38-ab6e-691aa69e8f15,194005,2,2,0,1,1,2,
04aea805-0176-4335-a2df-4e313e8a7630,214602,2,2,2,2,2,2,*guessing ordinally
0b855400-8860-413a-99a4-a816550dddfb,193379,2,1,2,1,1,2,
0ddc497d-2789-4265-9661-74c23c3c9590,225060,2,2,2,1,2,2,
0e3588a5-3558-4543-acdc-fbeac3ca4977,212788,2,2,1,2,2,2,
0fab2a05-80f3-4bef-afbc-e59612153814,203263,2,2,2,0,2,2,
131b9abc-bd11-4973-ac4a-4239e8830228,228589,2,2,2,1,2,2,
16654462-2807-419f-a32c-15b6d74c2e35,193644,2,2,2,2,2,2,*guessing ordinally
2a6de8d9-d8a2-4d5b-8ea9-d70664c3b580,214937,2,2,2,2,2,2,
2aa01137-eee7-4967-ab78-c81a50c68625,213499,2,2,2,2,2,2,
2afc71c7-3fd6-4807-81cd-65bded6dcd18,228802,0,0,0,0,0,0,
34705c4f-b05f-4be3-aa85-8162c98bbb7d,203233,2,2,1,2,2,2,
348d3549-71b7-495f-a825-a4f55099616b,212944,2,2,2,2,2,2,*guessing ordinally
3c8d1ea7-1c71-43af-8e04-1f59eabb70a4,201051,2,2,2,2,2,2,
3f85e748-7d9f-4b37-8447-794174f9a1cf,202706,2,2,2,2,2,2,*guessing ordinally
41c1d484-b960-495d-994d-62cb3387eb7f,193893,2,2,2,2,2,2,"*guessing ordinally, also absolutely bizarre setup"
478fd3c4-2671-4674-ba77-19d4f17beeb2,193712,0,0,0,0,0,0,
4e2de77d-9c08-4aac-8dd7-9a89b09cf211,202645,2,2,2,2,0,2,
5e3badb4-0a26-4167-b3c6-c270604d38df,201592,2,2,2,2,2,2,*guessing ordinally
6a4757b3-3d9b-4618-8643-89770c808c27,203196,2,2,1,2,2,1,
6d18aa27-0ec7-4ab6-93a0-b7ecb0f26db1,213011,2,2,2,2,2,2,*above and beyond normal requirements
6e1f4116-656e-4126-b18a-286b74eb4898,202825,2,2,2,2,2,2,
71299508-c867-4096-afc1-8886f48fd31b,227487,2,2,2,1,2,2,
73692b08-9c12-4e8a-92b2-34905324363e,191503,2,2,2,2,2,2,
73adfec1-3666-4499-96e6-5737e13d7806,202453,2,2,2,2,0,2,
7d36e45f-3614-4afe-9c85-a67b52059b3a,228430,2,2,2,1,1,2,
7d481dd6-c968-454d-ab19-e40f12f22bdb,193056,2,1,2,2,0,2,
80377625-ed7e-496c-94cc-1c53404d32cb,193449,2,2,2,2,2,2,*guessing ordinally
85f7f98b-de50-4b04-87ab-2270aecfc5d3,228801,2,2,2,1,2,2,
8a889958-91d8-4718-90fe-24b86790d1bc,193117,2,2,2,2,2,2,*guessing ordinally
96102160-6588-4efe-9ad7-d8a51dc70d51,228268,2,2,0,0,2,2,
9da03255-5c08-4f07-adee-3e02f0807c3f,186573,2,2,2,2,2,2,*very male guessing bot
a3e67f6c-1d4b-4ac9-9772-9ecdb764f9ae,214744,2,2,2,2,2,1,
a460db61-083a-425e-8b93-b45851d54c9b,228322,0,0,0,0,0,0,
bea8e3b9-141d-441b-afe2-4ba46c69444c,228538,2,2,2,2,2,2,*relatively complicated solution
c1a11415-ce84-4cf6-b9c4-d9b21e18c344,228142,2,2,2,1,2,2,
c4dd2926-7ccf-4061-a91a-96acf7abc9ca,193119,2,2,2,2,2,2,*guessing ordinally
c654eec5-0ae4-4e09-8c48-634cbade53d5,201376,2,2,2,2,2,2,
d1d9bfa9-c1c9-4331-bc02-64eaaeee5da8,214601,2,2,2,2,2,2,
d2b64fe7-3bfd-4f78-8c56-f3c240baca8b,210477,0,0,0,0,0,0,
d47a0819-fdc4-47db-a825-9039a4436c8b,202662,2,2,2,2,2,2,
e1b12d1a-fdc5-4851-a33d-422b4f726bbc,209751,2,2,2,2,2,2,
e32cf454-dd07-4d41-b9bf-9e0cdccbdd38,193817,2,2,2,1,2,2,
f2993b4f-70bd-499b-a420-6e98ff52994e,193966,2,2,2,2,2,2,"*wrong, but there's not a place on the rubric for it; guessing ordinally"
f2be4051-c158-49d4-b4eb-d9e2b764a4a3,228681,2,2,2,2,2,2,"*wrong, but there's not a place on the rubric for it; guessing ordinally"
f9fdbe17-8ba5-4e6d-910c-b7230b18e165,211465,0,0,1,1,0,0,
