Project ID,Graded ID,1 Block Input,Pen down,Variable Initialization,Repeat Rotations * 4,Move + Turn,Variable Increment,Comment
09fb7e85-bd52-4de9-8661-cbcf8273bc89,152622,2,2,2,2,2,2,
0bf8319c-8bea-434b-86a9-d5bac19dbd36,130004,1,2,2,2,2,2,
110dd5c3-db33-4c30-afab-b0443567617b,106127,2,2,2,2,2,2,
182ec14a-ae2d-446d-b2ce-7991a1a54d15,76558,2,2,2,2,2,2,
1b61f46a-44f9-4c2d-89de-038b42394771,89957,2,2,2,2,2,2,
283643ab-c7bb-46e9-afb4-cee7b9e15924,85379,2,2,2,2,2,2,
2eb9b9fa-246f-4335-b61a-ef75822bbdee,109955,,,,,,,Lots of extra code
2f4af7da-cb02-476a-b8f7-3e6f58906d73,114139,2,2,2,2,2,2,
321f8ffa-1d62-484b-9d5c-5c2a9885da53,114269,2,2,2,1,2,2,
3353368b-af52-4197-a2b3-807d20089c1c,137579,1,2,2,2,2,2,
3d11710d-d204-471a-9d48-2da2ae9d6a00,139296,2,2,2,1,1,2,
42395bda-e8e4-44f6-8cd1-b37d2321dd33,63233,2,2,2,1,2,2,
425532b0-be97-40b0-91fd-4a5dfaef477f,165346,2,2,2,2,2,2,
53f717ca-22b2-4a0d-a57a-2dd459268f82,76560,2,2,2,2,2,2,
54c87b1c-6069-4f84-94a9-8dd23a32adef,108187,2,2,2,2,2,2,
5611192f-7486-44b2-b9fe-392eb43468fa,102200,2,2,2,2,2,2,
6ebe87c3-b76e-489b-a4be-a75b4ce4e3f8,115136,1,2,2,2,2,2,
756cb47a-f61f-4756-ba0d-21c2ba156aa3,151782,0,1,2,2,2,2,
75cfb221-93fc-49e3-be05-43a4dd37bf50,104021,0,2,2,1,2,2,
7c91bbde-2c55-45ac-aa38-d231e0807d40,114830,2,2,2,1,2,2,
80f50c9e-4835-46f8-8f68-c9a0fc280ecc,75048,1,2,2,1,2,2,
94cbbf23-8eb0-4495-96a7-b8aaab3614f5,112745,1,2,1,2,2,2,
95d5d616-14e0-4594-af6c-3c98afdc5b41,153500,0,0,0,0,0,0,
9630f120-6071-4cde-81ab-9a11ef376dcc,86044,2,2,2,2,2,2,
a2a7be98-5d2d-4c11-877b-5c67b340ef32,107955,0,0,0,0,0,0,
a779d741-1f4d-4256-857e-022028580610,70230,2,2,2,2,2,1,
a97ad3d6-5c54-4e6f-9463-2afca34771fc,98982,2,2,2,2,2,2,
ab6da9de-d1a7-4de0-902f-d7f3a3f2001e,103752,1,2,1,2,2,2,*initialized to something stupid
b541d701-611b-4084-8fad-ef22d993a1ef,103581,0,0,0,0,0,0,
b5c2e1a8-96d4-4bc5-a7c5-76c316233180,139012,2,2,2,2,2,2,
bef983e0-6d52-43d1-8e13-ef9f201f4742,139214,0,2,2,1,2,2,
c07f822f-5972-4e53-a071-1e1d73057f54,98506,2,2,2,1,2,2,
c87035d6-f406-4598-8a36-0cb92e482650,98983,0,2,2,2,2,2,
cb28c665-f730-4672-95db-c97e7103b199,97835,2,2,2,2,2,2,
d10f086d-ae35-4bde-884d-e9e0b3002044,85591,0,2,2,2,2,2,
df94fb6e-3aac-4a9f-81fb-ed3d0541e2c5,103280,1,2,2,2,2,2,
e24a245d-5a60-4a45-be7e-948afdaef3dd,101283,2,2,2,1,2,2,
e3443248-60ec-4396-a5f1-615fad9a05e3,122200,2,2,2,2,2,2,
e57cd4f4-108f-41d5-8719-a9eb17358c36,137792,2,2,2,2,2,2,
ead12307-e4cd-4d20-aacf-2cf7a4006d16,113696,2,2,2,2,2,2,
eb94e0f0-de1c-4f9f-9c2c-1c030d015a5f,152501,2,2,2,2,2,2,
f3a8b447-c7ad-4fe5-be27-12e2a5becdba,111235,2,2,2,2,2,2,
fdb6f0e4-0c6c-438b-b97a-a997a489112d,115799,2,2,2,2,2,2,
ffb7babe-a343-46b8-b694-1c9d71998298,86790,0,2,2,1,2,2,
