dataset,assignment,id,link,start,code,
Spring2017,polygonMakerLab,049b0f61-5071-4f65-8d17-e1ef7928bfe1,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=049b0f61-5071-4f65-8d17-e1ef7928bfe1&assignment=polygonMakerLab&start=92392&end=97098&snapshots=true,92392,92392,
Spring2017,polygonMakerLab,09656fa3-09d5-42f0-bf45-d8d71cb0a998,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=09656fa3-09d5-42f0-bf45-d8d71cb0a998&assignment=polygonMakerLab&start=77450&end=83440&snapshots=true,77450,77450,
Spring2017,polygonMakerLab,1a0f476c-f935-431d-bbe4-63a9c2539ade,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=1a0f476c-f935-431d-bbe4-63a9c2539ade&assignment=polygonMakerLab&start=74792&end=76005&snapshots=true,74792,,
Spring2017,polygonMakerLab,21afd32c-cfb0-416e-aec0-50fa3ad699af,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=21afd32c-cfb0-416e-aec0-50fa3ad699af&assignment=polygonMakerLab&start=65953&end=75257&snapshots=true,65953,,
Spring2017,polygonMakerLab,220941d3-b051-49cc-b08a-9eb2edc077ce,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=220941d3-b051-49cc-b08a-9eb2edc077ce&assignment=polygonMakerLab&start=67837&end=68300&snapshots=true,67837,,
Spring2017,polygonMakerLab,2431e2f9-9334-493e-aeba-ddba0d1d07e4,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=2431e2f9-9334-493e-aeba-ddba0d1d07e4&assignment=polygonMakerLab&start=81169&end=85996&snapshots=true,81169,,
Spring2017,polygonMakerLab,292454d5-7072-4c5f-8a57-6f61f510a853,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=292454d5-7072-4c5f-8a57-6f61f510a853&assignment=polygonMakerLab&start=77329&end=82814&snapshots=true,77329,,
Spring2017,polygonMakerLab,3037c60f-571b-40e4-9688-76b34422dfbf,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=3037c60f-571b-40e4-9688-76b34422dfbf&assignment=polygonMakerLab&start=92536&end=97011&snapshots=true,92536,,
Spring2017,polygonMakerLab,324a0db1-a237-4fb1-96ea-8a83cf5a5400,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=324a0db1-a237-4fb1-96ea-8a83cf5a5400&assignment=polygonMakerLab&start=81100&end=85290&snapshots=true,81100,,
Spring2017,polygonMakerLab,38301c26-eecc-437b-b5cc-96cf4c5e1f59,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=38301c26-eecc-437b-b5cc-96cf4c5e1f59&assignment=polygonMakerLab&start=56765&end=65146&snapshots=true,56765,,
